227,弹射玩具制造,制造供14岁下儿童玩耍的，各种材质的通过可贮存和释放能量的弹射机构发射弹射物的蓄能弹射玩具和由儿童给予的能量发射弹射物的非蓄能弹射玩具的玩具产品
228,娃娃玩具制造,制造供14岁下儿童玩耍的、至少头部和四肢由非纺织物材质的聚合材料制成，并带有服装或身体由软性材料填充的非电的婴儿娃娃或人物娃娃玩具产品
229,儿童乘骑玩耍的童车类产品制造,制造供儿童乘骑玩耍的童车类产品（含儿童推车、婴儿学步车）
230,其他玩具制造,
231,游艺器材及娱乐用品制造,
232,露天游乐场所游乐设备制造,主要安装在公园、游乐园、水上乐园、儿童乐园等露天游乐场所的电动及非电动游乐设备和游艺器材的制造
233,游艺用品及室内游艺器材制造,主要供室内、桌上等游艺及娱乐场所使用的游乐设备、游艺器材和游艺娱乐用品，及主要安装在室内游乐场所的电子游乐设备的制造
234,其他娱乐用品制造,
235,石油、煤炭及其他燃料加工业,
236,精炼石油产品制造,
237,原油加工及石油制品制造,从天然原油、人造原油中提炼液态或气态燃料及石油制品的生产活动
238,其他原油制造,采用油页岩、油砂、焦油及一氧化碳、氢等气体等加工得到的类似天然石油的液体燃料的生产活动
239,煤炭加工,
240,炼焦,主要从硬煤和褐煤中生产焦炭、干馏炭及煤焦油或沥青等副产品的炼焦炉的操作活动
241,煤制合成气生产,
242,煤制液体燃料生产,通过化学加工过程把固体煤炭转化成为液体燃料、化工原料和产品的活动，如煤制甲醇、煤制烯烃等
243,煤制品制造,用烟煤、无烟煤、褐煤及其他各种煤炭制成的煤砖、煤球等固体燃料制品的活动
244,其他煤炭加工,煤质活性炭等其他煤炭加工活动
245,核燃料加工,从沥青铀矿或其他含铀矿石中提取铀、浓缩铀的生产，对铀金属的冶炼、加工，及其他放射性元素、同位素标记、核反应堆燃料元件的制造，还包括与核燃料加工有关的核废物处置活动
246,生物质燃料加工,
247,生物质液体燃料生产,利用农作物秸秆和农业加工剩余物、薪材及林业加工剩余物、禽畜粪便、工业有机废水和废渣、城市生活垃圾和能源植物等生物质资源作为原料转化为液体燃料的活动
248,生物质致密成型燃料加工,包括对下列生物质燃料的加工活动：林木致密成型燃料，秸秆致密成型燃料，废物、废料致密成型燃料，其他生物致密成型燃料；不包括：木炭、竹炭加工
249,化学原料和化学制品制造业,
250,基础化学原料制造,
251,无机酸制造,
252,无机碱制造,烧碱、纯碱等生产活动
253,无机盐制造,
254,有机化学原料制造,
255,其他基础化学原料制造,
256,肥料制造,化学肥料、有机肥料及微生物肥料的制造
257,氮肥制造,矿物氮肥及用化学方法制成含有作物营养元素氮的化肥的生产活动
258,磷肥制造,磷矿石为主要原料，用化学或物理方法制成含有作物营养元素磷的化肥的生产活动
259,钾肥制造,用天然钾盐矿经富集精制加工制成含有作物营养元素钾的化肥的生产活动
260,复混肥料制造,经过化学或物理方法加工制成的，含有两种上作物所需主要营养元素（氮、磷、钾）的化肥的生产活动；包括通用型复混肥料和专用型复混肥料
261,有机肥料及微生物肥料制造,来源于动植物，经发酵或腐熟等化学处理后，适用于土壤并提供植物养分供给的，其主要成分为含氮物质的肥料制造
262,其他肥料制造,上述未列明的微量元素肥料及其他肥料的生产
263,农药制造,用于防治农业、林业作物的病、虫、草、鼠和其他有害生物，调节植物生长的各种化学农药、微生物农药、生物化学农药，及仓储、农林产品的防蚀、河流堤坝、铁路、机场、建筑物及其他场所用药的原药和制剂的生产活动
264,化学农药制造,化学农药原药，及经过机械粉碎、混合或稀释制成粉状、乳状和水状的化学农药制剂的生产活动
265,生物化学农药及微生物农药制造,由细菌、真菌、病毒和原生动物或基因修饰的微生物等自然产生，及由植物提取的防治病、虫、草、鼠和其他有害生物的农药制剂生产活动
266,涂料、油墨、颜料及类似产品制造,
267,涂料制造,在天然树脂或合成树脂中加入颜料、溶剂和辅助材料，经加工后制成的覆盖材料的生产活动
268,油墨及类似产品制造,由颜料、联接料（植物油、矿物油、树脂、溶剂）和填充料经过混合、研磨调制而成，用于印刷的有色胶浆状物质，及用于计算机打印、复印机用墨等生产活动
269,工业颜料制造,用于陶瓷、搪瓷、玻璃等工业的无机颜料及类似材料的生产活动
270,工艺美术颜料制造,油画、水粉画、广告等艺术用颜料的制造
271,染料制造,有机合成、植物性或动物性色料，及有机颜料的生产活动
272,密封用填料及类似品制造,用于建筑涂料、密封和漆工用的填充料，及其他类似化学材料的制造
273,合成材料制造,
274,初级形态塑料及合成树脂制造,也称初级塑料或原状塑料的生产活动，包括通用塑料、工程塑料、功能高分子塑料的制造
275,合成橡胶制造,用一种或多种单体为原料进行聚合生产合成橡胶或高分析弹性体的生产活动
276,合成纤维单（聚合）体制造,石油、天然气、煤等为主要原料，用有机合成的方法制成合成纤维单体或聚合体的生产活动
277,其他合成材料制造,陶瓷纤维等特种纤维及其增强的复合材料的生产活动；其他专用合成材料的制造
278,专用化学产品制造,
279,化学试剂和助剂制造,各种化学试剂、催化剂及专用助剂的生产活动
